Route_ID	Route_Comb	Dup_Bw_Titles	Dup_Bw_Authors	Source_ID	Target_ID_All	Target_ID_0	Edition_ID	Matched_Entries	Last_Date	First_Date	Duration	Source_ID	Source_Location_Name_Standardized	Target_ID	Target_Location_Name_Standardized	interregional	international
2008	887;323;77	TRUE	FALSE	887	323;77	323	OC1608;OC1611;OC1616;OC1620;OC1666;OC1676	5697;6011;6686;7238;10007;10580	1676	1608	68	887	Milan	323	Cologne	TRUE	TRUE
2009	887;323;805	FALSE	FALSE	887	323;805	323	OC1623	7549	1623	1623	0	887	Milan	323	Cologne	TRUE	TRUE
133	77;323	TRUE	FALSE	77	323	323	OC1608;OC1611;OC1616;OC1620;OC1666;OC1676	5605;5916;6593;7143;9912;10485	1676	1608	68	77	Augsburg	323	Cologne	TRUE	FALSE
134	77;323;481	TRUE	TRUE	77	323;481	323	CK1678;LZ1680	10784;11410	1680	1678	2	77	Augsburg	323	Cologne	TRUE	FALSE
480	201;323;1329	FALSE	FALSE	201	323;1329	323	GG1602	4537	1602	1602	0	201	Braunschweig	323	Cologne	TRUE	FALSE
1011	412;323	FALSE	FALSE	412	323	323	LA1597;LA1597;LA1597	3077;3078;3079	1597	1597	0	412	Düsseldorf	323	Cologne	FALSE	FALSE
1153	481;323	TRUE	TRUE	481	323	323	GG1602;OC1616;OC1623;OC1666;OC1676	4670;6841;7652;9855;10739	1676	1602	74	481	Frankfurt	323	Cologne	TRUE	FALSE
1154	481;323;1535	FALSE	FALSE	481	323;1535	323	GG1602	4671	1602	1602	0	481	Frankfurt	323	Cologne	TRUE	FALSE
1155	481;323;690;774;839;306	FALSE	FALSE	481	323;690;774;839;306	323	LA1597	3134	1597	1597	0	481	Frankfurt	323	Cologne	TRUE	FALSE
1897	835;323	TRUE	TRUE	835	323	323	RV1576;GMA1612;GMA1625	2291;6135;7861	1625	1576	49	835	Mainz	323	Cologne	TRUE	FALSE
1898	835;323;168;687	FALSE	FALSE	835	323;168;687	323	LA1597	3313	1597	1597	0	835	Mainz	323	Cologne	TRUE	FALSE
2197	943;323	FALSE	FALSE	943	323	323	GG1602	4801	1602	1602	0	943	Münster	323	Cologne	FALSE	FALSE
2832	1179;323;154;264	FALSE	FALSE	1179	323;154;264	323	LA1597	3644	1597	1597	0	1179	Roermond	323	Cologne	TRUE	TRUE
3	6;323	FALSE	FALSE	6	323	323	LA1597	2879	1597	1597	0	6	Achen	323	Cologne	TRUE	TRUE
4	6;323;781;264	FALSE	FALSE	6	323;781;264	323	LA1597	2880	1597	1597	0	6	Achen	323	Cologne	TRUE	TRUE
527	206;323	FALSE	FALSE	206	323	323	LZ1680	11432	1680	1680	0	206	Bremen	323	Cologne	TRUE	FALSE
528	206;323;943	FALSE	FALSE	206	323;943	323	CK1678	10793	1678	1678	0	206	Bremen	323	Cologne	TRUE	FALSE
874	396;323	TRUE	FALSE	396	323	323	OC1616;OC1623;OC1666;OC1676	6837;7663;9851;10735	1676	1616	60	396	Dortmund	323	Cologne	FALSE	FALSE
875	396;323;758	FALSE	FALSE	396	323;758	323	LA1597	3045	1597	1597	0	396	Dortmund	323	Cologne	FALSE	FALSE
1073	441;323	FALSE	FALSE	441	323	323	LA1597	3119	1597	1597	0	441	Essen	323	Cologne	FALSE	FALSE
1310	572;323	FALSE	FALSE	572	323	323	LA1597;LA1597	3159;3160	1597	1597	0	572	Gulichi	323	Cologne	TRUE	TRUE
