Edition_ID	Edition_Title	Edition_Author	Edition_Location	Language	Edition_Publisher	Edition_Date	Author_VIAF	Author_WikiData_AF	Title_USTC	Title_OCLC	Entered
TT1614	Sommaire description de la France, Allemagne, Italie & Espagne	Théodore Turquet de Mayerne	Rouen	French	Claude Le Villain	1614	95152542	Q19032157	USTC 6813329		FALSE
GK1614A	Delitiae Italiae, Das ist: Eigentliche Beschreibung, was durch gantz Welschland in einer jeden Statt und Ort	Georg Kranitz	Frankfurt	German		1614	47823349			631558338	FALSE
GK1614B	Delitiae Italiae, Das ist: Eigentliche Beschreibung, was durch gantz Welschland in einer jeden Statt und Ort	Georg Kranitz	Leipzig	German	Heirs of Valentin am Ende	1614	47823349		USTC 2107953		FALSE
AP1614	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Pietro Discepolo;Mauritio Bona	1614	VIAF17227673	Q177692	USTC 4026509		FALSE
TT1615A	Sommaire description de la France	Théodore Turquet de Mayerne	Rouen	French	Claude Le Villain	1615	95152542	Q19032157	USTC 6812314		FALSE
TT1615B	Sommaire description de la France, Allemagne, Italie & Espagne	Théodore Turquet de Mayerne	Cologne	German	Jacob Stoer	1615	95152542	Q19032157		492288654	TRUE
FS1615	Itinerario, overo nova descrittione de' viaggi principali d'Italia	Franciscus Schottus	Vicenza	Italian	Francesco Bolzetta	1615		Q15675601	USTC 4024785		TRUE
OC1616	Nuouo itinerario delle poste per tutto il mondo	Ottavio Codogno	Milan	Italian	Girolamo Bordoni	1616	17563002	Q7109117	USTC 4025209		TRUE
GK1616	Paradisus Deliciarum Italiae: Das ist, Eygentliche Beschreibung, Was durch gantz Italien in allen Stett und Ortten denckwürdiges zu sehen ist : Denen so gemelte Landschafft zu besehen  ; Darbey gefügt die Raiß nach Rom: Sampt einem Bericht von der Münt	Georg Kranitz	Cologne	German	Konrad Bütgen	1616	47823349		USTC 2043310		FALSE
AP1616A	Les merveilles de la ville de Rome	Andrea Palladio	Toul	French	Simon Saint-Martel;Simon S. Martel	1616	VIAF17227673	Q177692	USTC 6805373		FALSE
AP1616B	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Giacomo Mascardi	1616	VIAF17227673	Q177692	USTC 4040923		FALSE
TT1618	Sommaire description de la France, Allemagne, Italie & Espagne	Théodore Turquet de Mayerne	Cologne	German	Jacob Stoer	1618	95152542	Q19032157		631421839	TRUE
AP1619	Le cose maravigliose dell'alma città di Roma con il viaggio di Loreto	Andrea Palladio	Rome	Italian	Giacomo Mascardi;Mauritio Bona	1619	VIAF17227673	Q177692	USTC 4029697		FALSE
OC1620	Nuouo itinerario delle poste per tutto il mondo	Ottavio Codogno	Venice	Italian	Lucio Spineda	1620	17563002	Q7109117	USTC 4004283		TRUE
GK1620	Delitiae Italiae dat is: Eyghentlijcke beschrijvinghe wat door gantsch Italien, in elcke stadt	Georg Kranitz	Arnhem	Dutch	Jan Janssen	1620	47823349		USTC 1010175		FALSE
AP1620	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Giacomo Mascardi;Mauritio Bona	1620	VIAF17227673	Q177692	USTC 4007323		FALSE
AP1621	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Giacomo Mascardi	1621	VIAF17227673	Q177692	USTC 4042042		FALSE
AM1622	Reportorio de caminos	Alonso de Meneses	Valladolid	Spanish	Widow of Francisco Fernández de Córdoba	1622	VIAF49565855		USTC 339979		FALSE
AP1622	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Guglielmo Facciotti	1622	VIAF17227673	Q177692	USTC 4004097		FALSE
FS1622	Itinerario, overo nova descrittione de' viaggi principali d'Italia	Franciscus Schottus	Vicenza	Italian	Francesco Bolzetta	1622		Q15675601	USTC 4007242		TRUE
OC1623	Compendio delle poste	Ottavio Codogno	Milan	Italian	Gio. Battista Bidelli	1623	17563002	Q7109117	USTC 4003816		TRUE
